TODO: this must be completed and converted to sql insert commands

SCHOOL,CONC,NAME,LEVEL,CASTING,COMPONENTS,RITUAL,	RANGE,DURATION,MATERIALS,DESCR,HIGHERLEVELS
Illusion,,Disguise Self,1st,1 action,VS,,,,,,
Enchantment,,Dissonant Whispers,1st,1 action,V,,,,,,
Evocation,Yes,Divine Favor,1st,1 bonus action,VS,,,,,,
Evocation,,Earth Tremor,1st,1 action,VS,,,,,,
Conjuration,Yes,Ensnaring Strike,1st,1 bonus action,V,,,,,,
Conjuration,Yes,Entangle,1st,1 action,VS,,,,,,
Transmutation,Yes,Expeditious Retreat,1st,1 bonus action,VS,,,,,,
Evocation,Yes,Faerie Fire,1st,1 action,V,,,,,,
Necromancy,,False Life,1st,1 action,VSM,,,,,,
Transmutation,,Feather Fall,1st,1 reaction,VM,,,,,,
Conjuration,,Find Familiar,1st,1 hour,VSM,Yes,,,,,
Conjuration,Yes,Fog Cloud,1st,1 action,VS,,,,,,
Transmutation,,Goodberry,1st,1 action,VSM,,,,,,
Conjuration,,Grease,1st,1 action,VSM,,,,,,
Evocation,,Guiding Bolt,1st,1 action,VS,,,,,,
Conjuration,Yes,Hail of Thorns,1st,1 bonus action,V,,,,,,
Evocation,,Healing Word,1st,1 bonus action,V,,,,,,
Evocation,,Hellish Rebuke,1st,1 reaction,VS,,,,,,
Enchantment,Yes,Heroism,1st,1 action,VS,,,,,,
Enchantment,Yes,Hex,1st,1 bonus action,VSM,,,,,,
Divination,Yes,Hunter's Mark,1st,1 bonus action,V,,,,,,
Conjuration,,Ice Knife,1st,1 action,SM,,,,,,
Divination,,Identify,1st,1 minute,VSM,Yes,,,,,
Illusion,,Illusory Script,1st,1 minute,SM,Yes,,,,,
Necromancy,,Inflict Wounds,1st,1 action,VS,,,,,,
Transmutation,,Jump,1st,1 action,VSM,,,,,,
Transmutation,,Longstrider,1st,1 action,VSM,,,,,,
Abjuration,,Mage Armor,1st,1 action,VSM,,,,,,
Evocation,,Magic Missile,1st,1 action,VS,,,,,,
Abjuration,Yes,Protection from Evil and Good,1st,1 action,VSM,,,,,,
Transmutation,,Purify Food and Drink,1st,1 action,VS,Yes,,,,,
Necromancy,,Ray of Sickness,1st,1 action,VS,,,,,,
Abjuration,,Sanctuary,1st,1 bonus action,VSM,,,,,,
Evocation,Yes,Searing Smite,1st,1 bonus action,V,,,,,,
Abjuration,,Shield,1st,1 reaction,VS,,,,,,
Abjuration,Yes,Shield of Faith,1st,1 bonus action,VSM,,,,,,
Illusion,Yes,Silent Image,1st,1 action,VSM,,,,,,
Enchantment,,Sleep,1st,1 action,VSM,,,,,,
Abjuration,,Snare,1st,1 minute,SM,,,,,,
Divination,,Speak with Animals,1st,1 action,VS,Yes,,,,,
Evocation,Yes,Tasha's Caustic Brew,1st,1 action,VSM,,,,,,
Enchantment,Yes,Tasha's Hideous Laughter,1st,1 action,VSM,,,,,,
Conjuration,,Tenser's Floating Disk,1st,1 action,VSM,Yes,,,,,
Evocation,Yes,Thunderous Smite,1st,1 bonus action,V,,,,,,
Evocation,,Thunderwave,1st,1 action,VS,,,,,,
Conjuration,,Unseen Servant,1st,1 action,VSM,Yes,,,,,
Evocation,Yes,Witch Bolt,1st,1 action,VSM,,,,,,
Evocation,Yes,Wrathful Smite,1st,1 bonus action,V,,,,,,
Transmutation,Yes,Zephyr Strike,1st,1 bonus action,V,,,,,,
Evocation,,Aganazzar's Scorcher,2nd,1 action,VSM,,,,,,
Abjuration,,Aid,2nd,1 action,VSM,,,,,,
Transmutation,Yes,Alter Self,2nd,1 action,VS,,,,,,
Enchantment,,Animal Messenger,2nd,1 action,VSM,Yes,,,,,
Abjuration,,Arcane Lock,2nd,1 action,VSM,,,,,,
Divination,,Augury,2nd,1 minute,VSM,Yes,,,,,
Transmutation,Yes,Barkskin,2nd,1 action,VSM,,,,,,
Divination,Yes,Beast Sense,2nd,1 action,S,Yes,,,,,
Necromancy,,Blindness/Deafness,2nd,1 action,V,,,,,,
Illusion,Yes,Blur,2nd,1 action,V,,,,,,
Evocation,Yes,Branding Smite,2nd,1 bonus action,V,,,,,,
Enchantment,Yes,Calm Emotions,2nd,1 action,VS,,,,,,
Conjuration,Yes,Cloud of Daggers,2nd,1 action,VSM,,,,,,
Evocation,,Continual Flame,2nd,1 action,VSM,,,,,,
Transmutation,,Cordon of Arrows,2nd,1 action,VSM,,,,,,
Enchantment,Yes,Crown of Madness,2nd,1 action,VS,,,,,,
Evocation,Yes,Darkness,2nd,1 action,VM,,,,,,
Transmutation,,Darkvision,2nd,1 action,VSM,,,,,,
Divination,Yes,Detect Thoughts,2nd,1 action,VSM,,,,,,
Transmutation,Yes,Dragon's Breath,2nd,1 bonus action,VSM,,,,,,
Conjuration,Yes,Dust Devil,2nd,1 action,VSM,,,,,,
Transmutation,Yes,Earthbind,2nd,1 action,V,,,,,,
Transmutation,Yes,Enhance Ability,2nd,1 action,VSM,,,,,,
Transmutation,Yes,Enlarge/Reduce,2nd,1 action,VSM,,,,,,
Enchantment,,Enthrall,2nd,1 action,VS,,,,,,
Conjuration,,Find Steed,2nd,10 minutes,VS,,,,,,
Divination,,Find Traps,2nd,1 action,VS,,,,,,
Evocation,Yes,Flame Blade,2nd,1 bonus action,VSM,,,,,,
Conjuration,Yes,Flaming Sphere,2nd,1 action,VSM,,,,,,
Conjuration,Yes,Flock of Familiars,2nd,1 minute,VS,,,,,,
Necromancy,,Gentle Repose,2nd,1 action,VSM,Yes,,,,,
Evocation,Yes,Gust of Wind,2nd,1 action,VSM,,,,,,
Conjuration,Yes,Healing Spirit,2nd,1 bonus action,VS,,,,,,
Transmutation,Yes,Heat Metal,2nd,1 action,VSM,,,,,,
Enchantment,Yes,Hold Person,2nd,1 action,VSM,,,,,,
Illusion,Yes,Invisibility,2nd,1 action,VSM,,,,,,
Transmutation,,Knock,2nd,1 action,V,,,,,,
Abjuration,,Lesser Restoration,2nd,1 action,VS,,,,,,
Transmutation,Yes,Levitate,2nd,1 action,VSM,,,,,,
Divination,,Locate Animals or Plants,2nd,1 action,VSM,Yes,,,,,
Divination,Yes,Locate Object,2nd,1 action,VSM,,,,,,
Illusion,,Magic Mouth,2nd,1 minute,VSM,Yes,,,,,
Transmutation,Yes,Magic Weapon,2nd,1 bonus action,VS,,,,,,
Transmutation,Yes,Maximilian's Earthen Grasp,2nd,1 action,VSM,,,,,,
Evocation,,Melf's Acid Arrow,2nd,1 action,VSM,,,,,,
Divination,Yes,Mind Spike,2nd,1 action,S,,,,,,
Illusion,,Mirror Image,2nd,1 action,VS,,,,,,
Conjuration,,Misty Step,2nd,1 bonus action,V,,,,,,
Evocation,Yes,Moonbeam,2nd,1 action,VSM,,,,,,
Illusion,,Nystul's Magic Aura,2nd,1 action,VSM,,,,,,
Abjuration,Yes,Pass without Trace,2nd,1 action,VSM,,,,,,
Illusion,Yes,Phantasmal Force,2nd,1 action,VSM,,,,,,
Evocation,,Prayer of Healing,2nd,10 minutes,V,,,,,,
Abjuration,,Protection from Poison,2nd,1 action,VS,,,,,,
Transmutation,,Pyrotechnics,2nd,1 action,VS,,,,,,
Necromancy,Yes,Ray of Enfeeblement,2nd,1 action,VS,,,,,,
Transmutation,,Rope Trick,2nd,1 action,VSM,,,,,,
Evocation,,Scorching Ray,2nd,1 action,VS,,,,,,
Divination,,See Invisibility,2nd,1 action,VSM,,,,,,
Illusion,Yes,Shadow Blade,2nd,1 bonus action,VS,,,,,,
Evocation,,Shatter,2nd,1 action,VSM,,,,,,
Illusion,Yes,Silence,2nd,1 action,VS,Yes,,,,,
Transmutation,Yes,Skywrite,2nd,1 action,VS,Yes,,,,,
Evocation,,Snilloc's Snowball Swarm,2nd,1 action,VSM,,,,,,
Transmutation,Yes,Spider Climb,2nd,1 action,VSM,,,,,,
Transmutation,Yes,Spike Growth,2nd,1 action,VSM,,,,,,
Evocation,,Spiritual Weapon,2nd,1 bonus action,VS,,,,,,
Enchantment,Yes,Suggestion,2nd,1 action,VM,,,,,,
Conjuration,Yes,Summon Beast,2nd,1 action,VSM,,,,,,
Enchantment,,Tasha's Mind Whip,2nd,1 action,V,,,,,,
Abjuration,,Warding Bond,2nd,1 action,VSM,,,,,,
Evocation,Yes,Warding Wind,2nd,1 action,V,,,,,,
Conjuration,Yes,Web,2nd,1 action,VSM,,,,,,
Enchantment,,Zone of Truth,2nd,1 action,VS,,,,,,
Necromancy,,Animate Dead,3rd,1 minute,VSM,,,,,,
Evocation,Yes,Aura of Vitality,3rd,1 action,V,,,,,,
Abjuration,Yes,Beacon of Hope,3rd,1 action,VS,,,,,,
Necromancy,Yes,Bestow Curse,3rd,1 action,VS,,,,,,
Evocation,Yes,Blinding Smite,3rd,1 bonus action,V,,,,,,
Transmutation,,Blink,3rd,1 action,VS,,,,,,
Conjuration,Yes,Call Lightning,3rd,1 action,VS,,,,,,
Enchantment,,Catnap,3rd,1 action,SM,,,,,,
Divination,Yes,Clairvoyance,3rd,10 minutes,VSM,,,,,,
Conjuration,Yes,Conjure Animals,3rd,1 action,VS,,,,,,
Conjuration,,Conjure Barrage,3rd,1 action,VSM,,,,,,
Abjuration,,Counterspell,3rd,1 reaction,S,,,,,,
Conjuration,,Create Food and Water,3rd,1 action,VS,,,,,,
Evocation,Yes,Crusader's Mantle,3rd,1 action,V,,,,,,
Evocation,,Daylight,3rd,1 action,VS,,,,,,
Abjuration,,Dispel Magic,3rd,1 action,VS,,,,,,
Transmutation,Yes,Elemental Weapon,3rd,1 action,VS,,,,,,
Enchantment,Yes,Enemies Abound,3rd,1 action,VS,,,,,,
Transmutation,,Erupting Earth,3rd,1 action,VSM,,,,,,
Illusion,Yes,Fear,3rd,1 action,VSM,,,,,,
Necromancy,,Feign Death,3rd,1 action,VSM,Yes,,,,,
Evocation,,Fireball,3rd,1 action,VSM,,,,,,
Transmutation,Yes,Flame Arrows,3rd,1 action,VS,,,,,,
Transmutation,Yes,Fly,3rd,1 action,VSM,,,,,,
Conjuration,,Galder's Tower,3rd,10 minutes,VSM,,,,,,
Transmutation,Yes,Gaseous Form,3rd,1 action,VSM,,,,,,
Abjuration,,Glyph of Warding,3rd,1 hour,VSM,,,,,,
Transmutation,Yes,Haste,3rd,1 action,VSM,,,,,,
Conjuration,Yes,Hunger of Hadar,3rd,1 action,VSM,,,,,,
Illusion,Yes,Hypnotic Pattern,3rd,1 action,SM,,,,,,
Abjuration,Yes,Intellect Fortress,3rd,1 action,V,,,,,,
Evocation,,Leomund's Tiny Hut,3rd,1 minute,VSM,Yes,,,,,
Necromancy,,Life Transference,3rd,1 action,VS,,,,,,
Transmutation,Yes,Lightning Arrow,3rd,1 bonus action,VS,,,,,,
Evocation,,Lightning Bolt,3rd,1 action,VSM,,,,,,
Abjuration,,Magic Circle,3rd,1 minute,VSM,,,,,,
Illusion,Yes,Major Image,3rd,1 action,VSM,,,,,,
Evocation,,Mass Healing Word,3rd,1 bonus action,V,,,,,,
Transmutation,,Meld into Stone,3rd,1 action,VS,Yes,,,,,
Evocation,Yes,Melf's Minute Meteors,3rd,1 action,VSM,,,,,,
Abjuration,,Nondetection,3rd,1 action,VSM,,,,,,
Illusion,,Phantom Steed,3rd,1 minute,VS,Yes,,,,,
Transmutation,,Plant Growth,3rd,1 action,VS,,,,,,
Abjuration,Yes,Protection from Energy,3rd,1 action,VS,,,,,,
Abjuration,,Remove Curse,3rd,1 action,VS,,,,,,
Necromancy,,Revivify,3rd,1 action,VSM,,,,,,
Evocation,,Sending,3rd,1 action,VSM,,,,,,
Conjuration,Yes,Sleet Storm,3rd,1 action,VSM,,,,,,
Transmutation,Yes,Slow,3rd,1 action,VSM,,,,,,
Necromancy,,Speak with Dead,3rd,1 action,VSM,,,,,,
Transmutation,,Speak with Plants,3rd,1 action,VS,,,,,,
Conjuration,Yes,Spirit Guardians,3rd,1 action,VSM,,,,,,
Necromancy,Yes,Spirit Shroud,3rd,1 bonus action,VS,,,,,,
Conjuration,Yes,Stinking Cloud,3rd,1 action,VSM,,,,,,
Conjuration,Yes,Summon Fey,3rd,,,,,,,,
Conjuration,Yes,Summon Lesser Demons,3rd,1 action,VSM,,,,,,
Conjuration,Yes,Summon Shadowspawn,3rd,,,,,,,,
Necromancy,Yes,Summon Undead,3rd,,,,,,,,
Conjuration,,Thunder Step,3rd,1 action,V,,,,,,
Conjuration,,Tidal Wave,3rd,1 action,VSM,,,,,,
Transmutation,,Tiny Servant,3rd,1 minute,VS,,,,,,
Divination,,Tongues,3rd,1 action,VM,,,,,,
Necromancy,Yes,Vampiric Touch,3rd,1 action,VS,,,,,,
Evocation,Yes,Wall of Sand,3rd,1 action,VSM,,,,,,
Evocation,Yes,Wall of Water,3rd,1 action,VSM,,,,,,
Transmutation,,Water Breathing,3rd,1 action,VSM,Yes,,,,,
Transmutation,,Water Walk,3rd,1 action,VSM,Yes,,,,,
Evocation,Yes,Wind Wall,3rd,1 action,VSM,,,,,,
Divination,Yes,Arcane Eye,4th,1 action,VSM,,,,,,
Abjuration,Yes,Aura of Life,4th,1 action,V,,,,,,
Abjuration,Yes,Aura of Purity,4th,1 action,V,,,,,,
Abjuration,Yes,Banishment,4th,1 action,VSM,,,,,,
Necromancy,,Blight,4th,1 action,VS,,,,,,
Enchantment,,Charm Monster,4th,1 action,VS,,,,,,
Enchantment,Yes,Compulsion,4th,1 action,VS,,,,,,
Enchantment,Yes,Confusion,4th,1 action,VSM,,,,,,
Conjuration,Yes,Conjure Minor Elementals,4th,1 minute,VS,,,,,,
Conjuration,Yes,Conjure Woodland Beings,4th,1 action,VSM,,,,,,
Transmutation,Yes,Control Water,4th,1 action,VSM,,,,,,
Abjuration,,Death Ward,4th,1 action,VS,,,,,,
Conjuration,,Dimension Door,4th,1 action,V,,,,,,
Divination,,Divination,4th,1 action,VSM,Yes,,,,,
Enchantment,Yes,Dominate Beast,4th,1 action,VS,,,,,,
Transmutation,Yes,Elemental Bane,4th,1 action,VS,,,,,,
Conjuration,Yes,Evard's Black Tentacles,4th,1 action,VSM,,,,,,
Transmutation,,Fabricate,4th,10 minutes,VS,,,,,,
Conjuration,,Find Greater Steed,4th,10 minutes,VS,,,,,,
Evocation,,Fire Shield,4th,1 action,VSM,,,,,,
Abjuration,,Freedom of Movement,4th,1 action,VSM,,,,,,
Conjuration,,Galder's Speedy Courier,4th,1 action,VSM,,,,,,
Transmutation,Yes,Giant Insect,4th,1 action,VS,,,,,,
Conjuration,Yes,Grasping Vine,4th,1 bonus action,VS,,,,,,
Illusion,Yes,Greater Invisibility,4th,1 action,VS,,,,,,
Conjuration,,Guardian of Faith,4th,1 action,V,,,,,,
Transmutation,Yes,Guardian of Nature,4th,1 bonus action,V,,,,,,
Illusion,,Hallucinatory Terrain,4th,10 minutes,VSM,,,,,,
Evocation,,Ice Storm,4th,1 action,VSM,,,,,,
Conjuration,,Leomund's Secret Chest,4th,1 action,VSM,,,,,,
Divination,Yes,Locate Creature,4th,1 action,VSM,,,,,,
Conjuration,,Mordenkainen's Faithful Hound,4th,1 action,VSM,,,,,,
Abjuration,,Mordenkainen's Private Sanctum,4th,10 minutes,VSM,,,,,,
Evocation,Yes,Otiluke's Resilient Sphere,4th,1 action,VSM,,,,,,
Illusion,Yes,Phantasmal Killer,4th,1 action,VS,,,,,,
Transmutation,Yes,Polymorph,4th,1 action,VSM,,,,,,
Necromancy,Yes,Shadow of Moil,4th,1 action,VSM,,,,,,
Evocation,Yes,Sickening Radiance,4th,1 action,VS,,,,,,
Evocation,Yes,Staggering Smite,4th,1 bonus action,V,,,,,,
Transmutation,,Stone Shape,4th,1 action,VSM,,,,,,
Abjuration,Yes,Stoneskin,4th,1 action,VSM,,,,,,
Evocation,Yes,Storm Sphere,4th,1 action,VS,,,,,,
Conjuration,Yes,Summon Aberration,4th,1 action,VSM,,,,,,
Conjuration,Yes,Summon Construct,4th,,,,,,,,
Conjuration,Yes,Summon Elemental,4th,,,,,,,,
Conjuration,Yes,Summon Greater Demon,4th,1 action,VSM,,,,,,
Evocation,,Vitriolic Sphere,4th,1 action,VSM,,,,,,
Evocation,Yes,Wall of Fire,4th,1 action,VSM,,,,,,
Conjuration,Yes,Watery Sphere,4th,1 action,VSM,,,,,,
Transmutation,Yes,Animate Objects,5th,1 action,VS,,,,,,
Abjuration,Yes,Antilife Shell,5th,1 action,VS,,,,,,
Transmutation,,Awaken,5th,8 hours,VSM,,,,,,
Abjuration,Yes,Banishing Smite,5th,1 bonus action,V,,,,,,
Evocation,Yes,Bigby's Hand,5th,1 action,VSM,,,,,,
Abjuration,Yes,Circle of Power,5th,1 action,V,,,,,,
Conjuration,Yes,Cloudkill,5th,1 action,VS,,,,,,
Divination,,Commune,5th,1 minute,VSM,Yes,,,,,
Divination,,Commune with Nature,5th,1 minute,VS,Yes,,,,,
Evocation,,Cone of Cold,5th,1 action,VSM,,,,,,
Conjuration,Yes,Conjure Elemental,5th,1 minute,VSM,,,,,,
Conjuration,,Conjure Volley,5th,1 action,VSM,,,,,,
Divination,,Contact Other Plane,5th,1 minute,V,Yes,,,,,
Necromancy,,Contagion,5th,1 action,VS,,,,,,
Transmutation,Yes,Control Winds,5th,1 action,VS,,,,,,
Illusion,,Creation,5th,1 minute,VSM,,,,,,
Necromancy,Yes,Danse Macabre,5th,1 action,VS,,,,,,
Evocation,Yes,Dawn,5th,1 action,VSM,,,,,,
Evocation,,Destructive Wave,5th,1 action,V,,,,,,
Abjuration,Yes,Dispel Evil and Good,5th,1 action,VSM,,,,,,
Enchantment,Yes,Dominate Person,5th,1 action,VS,,,,,,
Illusion,,Dream,5th,1 minute,VSM,,,,,,
Necromancy,Yes,Enervation,5th,1 action,VS,,,,,,
Conjuration,Yes,Far Step,5th,1 bonus action,V,,,,,,
Evocation,,Flame Strike,5th,1 action,VSM,,,,,,
Enchantment,,Geas,5th,1 minute,V,,,,,,
Abjuration,,Greater Restoration,5th,1 action,VSM,,,,,,
Evocation,,Hallow,5th,24 hours,VSM,,,,,,
Enchantment,Yes,Hold Monster,5th,1 action,VSM,,,,,,
Evocation,Yes,Holy Weapon,5th,1 bonus action,VS,,,,,,
Evocation,Yes,Immolation,5th,1 action,V,,,,,,
Conjuration,Yes,Infernal Calling,5th,1 minute,VSM,,,,,,
Conjuration,Yes,Insect Plague,5th,1 action,VSM,,,,,,
Divination,,Legend Lore,5th,10 minutes,VSM,,,,,,
Evocation,Yes,Maelstrom,5th,1 action,VSM,,,,,,
Evocation,,Mass Cure Wounds,5th,1 action,VS,,,,,,
Illusion,Yes,Mislead,5th,1 action,S,,,,,,
Enchantment,Yes,Modify Memory,5th,1 action,VS,,,,,,
Necromancy,,Negative Energy Flood,5th,1 action,VM,,,,,,
Transmutation,,Passwall,5th,1 action,VSM,,,,,,
Abjuration,,Planar Binding,5th,1 hour,VSM,,,,,,
Necromancy,,Raise Dead,5th,1 hour,VSM,,,,,,
Divination,,Rary's Telepathic Bond,5th,1 action,VSM,Yes,,,,,
Transmutation,,Reincarnate,5th,1 hour,VSM,,,,,,
Divination,Yes,Scrying,5th,10 minutes,VSM,,,,,,
Illusion,,Seeming,5th,1 action,VS,,,,,,
Transmutation,Yes,Skill Empowerment,5th,1 action,VS,,,,,,
Conjuration,,Steel Wind Strike,5th,1 action,SM,,,,,,
Conjuration,Yes,Summon Celestial,5th,,,,,,,,
Transmutation,Yes,Swift Quiver,5th,1 bonus action,VSM,,,,,,
Enchantment,,Synaptic Static,5th,1 action,VS,,,,,,
Transmutation,Yes,Telekinesis,5th,1 action,VS,,,,,,
Conjuration,,Teleportation Circle,5th,1 minute,VM,,,,,,
Transmutation,,Transmute Rock,5th,1 action,VSM,,,,,,
Conjuration,Yes,Tree Stride,5th,1 action,VS,,,,,,
Evocation,Yes,Wall of Force,5th,1 action,VSM,,,,,,
Evocation,Yes,Wall of Light,5th,1 action,VSM,,,,,,
Evocation,Yes,Wall of Stone,5th,1 action,VSM,,,,,,
Evocation,Yes,Wrath of Nature,5th,1 action,VS,,,,,,
Conjuration,Yes,Arcane Gate,6th,1 action,VS,,,,,,
Evocation,Yes,Blade Barrier,6th,1 action,VS,,,,,,
Transmutation,,Bones of the Earth,6th,1 action,VS,,,,,,
Evocation,,Chain Lightning,6th,1 action,VSM,,,,,,
Necromancy,,Circle of Death,6th,1 action,VSM,,,,,,
Conjuration,Yes,Conjure Fey,6th,1 minute,VS,,,,,,
Evocation,,Contingency,6th,10 minutes,VSM,,,,,,
Transmutation,,Create Homunculus,6th,1 hour,VSM,,,,,,
Necromancy,,Create Undead,6th,1 minute,VSM,,,,,,
Transmutation,,Disintegrate,6th,1 action,VSM,,,,,,
Conjuration,,Drawmij's Instant Summons,6th,1 minute,VSM,Yes,,,,,
Abjuration,,Druid Grove,6th,10 minutes,VSM,,,,,,
Necromancy,Yes,Eyebite,6th,1 action,VS,,,,,,
Divination,Yes,Find the Path,6th,1 minute,VSM,,,,,,
Transmutation,Yes,Flesh to Stone,6th,1 action,VSM,,,,,,
Abjuration,,Forbiddance,6th,10 minutes,VSM,Yes,,,,,
Abjuration,Yes,Globe of Invulnerability,6th,1 action,VSM,,,,,,
Abjuration,,Guards and Wards,6th,10 minutes,VSM,,,,,,
Necromancy,,Harm,6th,1 action,VS,,,,,,
Evocation,,Heal,6th,1 action,VS,,,,,,
Conjuration,,Heroes' Feast,6th,10 minutes,VSM,,,,,,
Transmutation,Yes,Investiture of Flame,6th,1 action,VS,,,,,,
Transmutation,Yes,Investiture of Ice,6th,1 action,VS,,,,,,
Transmutation,Yes,Investiture of Stone,6th,1 action,VS,,,,,,
Transmutation,Yes,Investiture of Wind,6th,1 action,VS,,,,,,
Necromancy,,Magic Jar,6th,1 minute,VSM,,,,,,
Enchantment,,Mass Suggestion,6th,1 action,VM,,,,,,
Illusion,Yes,Mental Prison,6th,1 action,S,,,,,,
Transmutation,Yes,Move Earth,6th,1 action,VSM,,,,,,
Evocation,,Otiluke's Freezing Sphere,6th,1 action,VSM,,,,,,
Enchantment,Yes,Otto's Irresistible Dance,6th,1 action,V,,,,,,
Conjuration,,Planar Ally,6th,10 minutes,VS,,,,,,
Abjuration,Yes,Primordial Ward,6th,1 action,VS,,,,,,
Illusion,,Programmed Illusion,6th,1 action,VSM,,,,,,
Abjuration,,Scatter,6th,1 action,V,,,,,,
Necromancy,,Soul Cage,6th,1 reaction,VSM,,,,,,
Conjuration,Yes,Summon Fiend,6th,,,,,,,,
Evocation,Yes,Sunbeam,6th,1 action,VSM,,,,,,
Transmutation,Yes,Tasha's Otherworldly Guise,6th,1 bonus action,VSM,,,,,,
Transmutation,Yes,Tenser's Transformation,6th,1 action,VSM,,,,,,
Conjuration,,Transport via Plants,6th,1 action,VS,,,,,,
Divination,,True Seeing,6th,1 action,VSM,,,,,,
Evocation,Yes,Wall of Ice,6th,1 action,VSM,,,,,,
Conjuration,Yes,Wall of Thorns,6th,1 action,VSM,,,,,,
Transmutation,,Wind Walk,6th,1 minute,VSM,,,,,,
Conjuration,,Word of Recall,6th,1 action,V,,,,,,
Conjuration,Yes,Conjure Celestial,7th,1 minute,VS,,,,,,
